Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Tmin;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;�mol/s;kPa;mV;mV;�C;�C;�C;�C;�mol m-2 s-1;�mol m-2 s-1;�mol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;�mol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-03-11;09:12:09;ZPc005;0;8;AFF1FF111FF---1FF-------------;;399.3375;-0.4274895;;20442.32;-105.9759;;749.69;100.852;2618;1654;24.93;25.29;28.15;24.00;1500.0;30.8;41.0;7;;;;;;;;;;;;0;;;;;;;;;;;
2021-03-11;09:20:27;ZPi005;0;8;AFF1FF111FF---1FF-------------;CO2 Curve;399.294;-0.3924546;;20620.41;-77.61069;;749.63;100.872;2635;1598;24.90;26.41;27.88;25.24;1500.0;1.1;41.6;7;;;;;;;;;;;;554;;;;;;;;;;;
2021-03-11;09:24:28;MP_005;1;8;AFF1FF111FF---1FF-------------;;399.0784;-0.3924546;-13.51607;20567.05;-77.61069;1664.295;749.56;100.876;2640;1633;24.96;26.51;28.17;25.33;1499.9;0.9;41.6;7;71.23;1.669309;12.37848;134.8558;11.65182;245.0748;385.95;22309.0;;;;529;;;;;;;;;;;
2021-03-11;09:24:59;MP_005;1;8;AFF1FF111FF---1FF-------------;;399.19;-0.3924546;-13.58852;20555.31;-77.61069;1676.592;749.77;100.870;2641;1669;25.00;26.53;28.18;25.34;1499.9;0.6;41.4;7;71.08;1.681601;12.41753;135.4216;11.71846;244.9178;386.02;22318.4;;;;526;596;;;0.1174;73.99;;;;;;0.840
2021-03-11;09:28:14;ZPi005;0;8;AFF1FF111FF---1FF-------------;;299.692;-0.5722128;;20597.28;-82.05773;;749.68;100.874;2646;1655;24.99;26.55;28.36;25.41;1500.2;1.0;41.5;7;;;;;;;;;;;;503;;;;;;;;;;;
2021-03-11;09:32:14;MP_005;1;8;AFF1FF111FF---1FF-------------;;299.7662;-0.5722128;-10.76107;20570.39;-82.05773;1875.332;749.58;100.880;2652;1642;25.00;26.54;28.47;25.43;1499.5;0.6;41.5;7;71.77;1.876284;12.21981;153.5444;9.003329;193.4998;289.58;22527.8;;;;492;;;;;;;;;;;
2021-03-11;09:32:45;MP_005;1;8;AFF1FF111FF---1FF-------------;;299.9255;-0.5722128;-10.76906;20573.61;-82.05773;1895.443;749.64;100.880;2653;1671;25.06;26.56;28.44;25.44;1499.9;1.2;41.4;7;71.58;1.895791;12.236;154.9355;9.00576;194.4195;289.72;22557.5;;;;490;551;;;0.1107;69.74;;;;;;0.840
2021-03-11;09:36:00;ZPi005;0;8;AFF1FF111FF---1FF-------------;;199.5979;-0.5088869;;20587.66;-87.83324;;749.74;100.876;2656;1653;25.02;26.55;28.55;25.49;1499.5;1.1;41.2;7;;;;;;;;;;;;476;;;;;;;;;;;
2021-03-11;09:40:00;MP_005;1;8;AFF1FF111FF---1FF-------------;;199.7681;-0.5088869;-7.036301;20576.36;-87.83324;2021.289;749.55;100.874;2659;1677;25.02;26.55;28.60;25.47;1499.9;0.7;41.4;7;72.19;2.021986;12.08063;167.3742;5.725049;136.7711;193.24;22685.5;;;;470;;;;;;;;;;;
2021-03-11;09:40:31;MP_005;1;8;AFF1FF111FF---1FF-------------;;199.6329;-0.5088869;-7.056324;20572.96;-87.83324;2038.581;749.54;100.870;2660;1682;25.05;26.55;28.50;25.47;1499.9;1.2;41.4;7;72.09;2.038562;12.06216;169.0048;5.740812;137.0021;193.10;22698.3;;;;470;523;;;0.1013;63.84;;;;;;0.840
2021-03-11;09:43:46;ZPi005;0;8;AFF1FF111FF---1FF-------------;;99.34705;-0.5477127;;20582.22;-95.85954;;749.59;100.878;2662;1645;25.02;26.56;28.68;25.48;1499.7;0.6;41.2;7;;;;;;;;;;;;458;;;;;;;;;;;
2021-03-11;09:47:46;MP_005;1;8;AFF1FF111FF---1FF-------------;;99.40763;-0.5477127;-2.764245;20555.46;-95.85954;2127.932;749.57;100.860;2666;1679;25.02;26.54;28.72;25.50;1499.3;0.7;41.5;7;72.48;2.132182;11.96305;178.2307;1.869581;79.18145;97.19;22779.3;;;;451;;;;;;;;;;;
2021-03-11;09:48:17;MP_005;1;8;AFF1FF111FF---1FF-------------;;99.47517;-0.5477127;-2.783544;20565.02;-95.85954;2132.99;749.64;100.870;2665;1694;25.05;26.55;28.63;25.50;1499.9;0.6;41.4;7;72.39;2.137271;11.96432;178.6371;1.887315;79.09155;97.22;22794.0;;;;450;495;;;0.0909;57.27;;;;;;0.840
2021-03-11;09:51:32;ZPi005;0;8;AFF1FF111FF---1FF-------------;;49.61381;-0.5780534;;20579.9;-101.5333;;749.69;100.868;2669;1707;25.01;26.54;28.74;25.51;1499.9;0.7;41.4;7;;;;;;;;;;;;446;;;;;;;;;;;
2021-03-11;09:55:32;MP_005;1;8;AFF1FF111FF---1FF-------------;;49.56735;-0.5780534;-0.6366785;20563.57;-101.5333;2228.199;749.53;100.886;2673;1667;25.02;26.52;28.71;25.52;1499.9;1.0;41.5;7;72.84;2.23391;11.79732;189.3574;-5.567107E-02;49.06034;49.51;22893.3;;;;442;;;;;;;;;;;
2021-03-11;09:56:03;MP_005;1;8;AFF1FF111FF---1FF-------------;;49.56172;-0.5780534;-0.6368139;20569.05;-101.5333;2236.821;749.80;100.880;2673;1660;25.05;26.53;28.73;25.49;1499.9;1.2;41.9;7;72.76;2.243005;11.81172;189.8966;-5.593035E-02;49.04051;49.49;22907.2;;;;442;478;;;0.0753;47.44;;;;;;0.840
2021-03-11;09:59:18;ZPi005;0;8;AFF1FF111FF---1FF-------------;;400.5138;-0.6056016;;20584.76;-64.54379;;749.68;100.886;2674;1659;25.01;26.50;28.72;25.52;1499.9;0.6;41.2;7;;;;;;;;;;;;458;;;;;;;;;;;
2021-03-11;10:03:18;MP_005;1;8;AFF1FF111FF---1FF-------------;;399.4302;-0.6056016;-15.12747;20555.38;-64.54379;2207.521;749.63;100.888;2677;1701;25.00;26.50;28.78;25.49;1500.0;0.6;41.2;7;72.72;2.17874;11.83074;184.1591;12.7689;270.694;384.91;22827.5;;;;466;;;;;;;;;;;
2021-03-11;10:04:18;MP_005;1;8;AFF1FF111FF---1FF-------------;;399.5566;-0.6056016;-15.10215;20559.34;-64.54379;2197.101;749.64;100.888;2678;1673;25.00;26.51;28.80;25.52;1499.7;0.7;41.2;7;72.68;2.168765;11.84401;183.1107;12.74887;270.3916;385.06;22821.0;;;;466;;;;;;;;;;;
2021-03-11;10:05:18;MP_005;1;8;AFF1FF111FF---1FF-------------;;399.4467;-0.6056016;-15.1006;20565.26;-64.54379;2185.88;749.71;100.890;2679;1680;25.00;26.50;28.87;25.53;1499.7;0.6;41.4;7;72.67;2.158203;11.84209;182.2484;12.75304;269.7417;384.95;22815.7;;;;466;;;;;;;;;;;
2021-03-11;10:05:39;MP_005;1;8;AFF1FF111FF---1FF-------------;;399.5916;-0.6056016;-15.15004;20562.79;-64.54379;2177.933;749.72;100.890;2679;1685;25.03;26.50;28.87;25.50;1499.9;1.2;41.4;7;72.50;2.150583;11.84882;181.5019;12.80231;268.9541;385.03;22802.6;;;;466;531;;;0.1224;77.11;;;;;;0.840
2021-03-11;10:08:54;ZPi005;0;8;AFF1FF111FF---1FF-------------;;600.5103;-0.5656932;;20593.8;-48.92768;;749.60;100.884;2679;1689;25.02;26.54;28.79;25.57;1499.9;0.9;41.2;7;;;;;;;;;;;;479;;;;;;;;;;;
2021-03-11;10:12:54;MP_005;1;8;AFF1FF111FF---1FF-------------;;599.0016;-0.5656932;-21.52513;20518.49;-48.92768;2096.724;749.66;100.890;2683;1709;25.00;26.51;28.82;25.50;1499.5;0.6;41.0;7;72.20;2.057276;12.0104;171.2912;18.4515;400.8287;578.04;22664.1;;;;481;;;;;;;;;;;
2021-03-11;10:13:25;MP_005;1;8;AFF1FF111FF---1FF-------------;;599.8637;-0.5656932;-21.53721;20528.81;-48.92768;2077.965;749.67;100.900;2682;1713;25.03;26.52;28.84;25.50;1500.7;0.6;40.8;7;72.03;2.039279;12.03256;169.4801;18.47161;399.6901;578.90;22651.9;;;;482;560;;;0.1393;87.79;;;;;;0.840
2021-03-11;10:16:40;ZPi005;0;8;AFF1FF111FF---1FF-------------;;800.9848;-0.6930081;;20574.67;-37.0964;;749.65;100.880;2685;1708;25.01;26.52;28.93;25.51;1499.7;0.7;41.4;7;;;;;;;;;;;;494;;;;;;;;;;;
2021-03-11;10:20:40;MP_005;1;8;AFF1FF111FF---1FF-------------;;798.3925;-0.6930081;-25.80655;20557.97;-37.0964;1976.091;749.64;100.888;2686;1704;25.00;26.55;28.87;25.52;1499.7;0.6;41.1;7;71.89;1.930017;12.17929;158.4671;22.04017;543.7966;773.28;22571.2;;;;498;;;;;;;;;;;
2021-03-11;10:21:11;MP_005;1;8;AFF1FF111FF---1FF-------------;;798.4817;-0.6930081;-25.71401;20562.63;-37.0964;1958.478;749.64;100.880;2687;1688;25.03;26.56;28.89;25.52;1500.7;1.2;40.8;7;71.72;1.91312;12.2347;156.3683;21.96626;541.7997;773.50;22558.7;;;;497;584;;;0.1490;93.90;;;;;;0.840
2021-03-11;10:24:27;ZPi005;0;8;AFF1FF111FF---1FF-------------;;999.382;-0.5118956;;20593.52;-30.72479;;749.68;100.884;2689;1706;25.00;26.55;28.75;25.49;1499.7;1.0;41.2;7;;;;;;;;;;;;510;;;;;;;;;;;
2021-03-11;10:28:27;MP_005;1;8;AFF1FF111FF---1FF-------------;;997.5233;-0.5118956;-28.36266;20563.47;-30.72479;1802.043;749.68;100.884;2691;1675;25.00;26.57;28.87;25.50;1499.9;0.9;41.7;7;71.34;1.756822;12.41949;141.4569;24.39524;684.614;969.67;22396.2;;;;513;;;;;;;;;;;
2021-03-11;10:28:58;MP_005;1;8;AFF1FF111FF---1FF-------------;;997.5187;-0.5118956;-28.32961;20572.79;-30.72479;1789.838;749.51;100.880;2691;1662;25.05;26.58;28.92;25.47;1499.0;0.6;41.4;7;71.13;1.744744;12.43571;140.3011;24.37029;682.7158;969.72;22394.8;;;;513;604;;;0.1507;94.85;;;;;;0.840
2021-03-11;10:32:13;ZPi005;0;8;AFF1FF111FF---1FF-------------;;1193.559;-0.5126767;;20575.63;-16.83962;;749.75;100.886;2693;1699;25.01;26.59;28.79;25.48;1499.9;0.6;41.2;7;;;;;;;;;;;;523;;;;;;;;;;;
